"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"3171",218596,"Tim Hudson",2010,"3339","94.97","0.232","0.115","0.254","0.347","0.284","0.057","0.000","187","806","null","null","null","89.8","null","250","1422","1712","null","null","null","null","null","null","null","null","null"
"2536",218596,"Tim Hudson",2014,"2784","91.09","0.265","0.135","0.294","0.401","0.303","0.034","0.000","184","694","null","null","null","86.9","null","239","1233","1279","null","null","null","null","null","null","null","null","null"
"2903",218596,"Tim Hudson",2011,"3204","90.61","0.244","0.099","0.281","0.343","0.282","0.049","0.000","181","741","null","null","null","88.9","null","270","1333","1526","null","null","null","null","null","null","null","null","null"
"1789",218596,"Tim Hudson",2013,"2006","89.18","0.251","0.113","0.289","0.364","0.294","0.050","0.000","113","450","null","null","null","87.9","null","174","849","927","null","null","null","null","null","null","null","null","null"
"2532",112526,"Bartolo Colon",2016,"2853","88.75","0.264","0.154","0.292","0.418","0.307","0.311","0.267","176","667","84.3","17.0","2147","88.4","86.54","151","1190","1327","-1.9","5.31","110","152","110","146","290","312","294"
"2327",218596,"Tim Hudson",2012,"2623","88.72","0.256","0.117","0.282","0.372","0.297","0.050","0.000","160","626","null","null","null","87.5","null","174","1104","1190","null","null","null","null","null","null","null","null","null"
"1628",218596,"Tim Hudson",2015,"1854","87.81","0.300","0.137","0.311","0.437","0.349","0.369","0.309","127","423","88.6","3.9","1966","86.2","85.12","136","771","836","-1.1","5.51","112","149","108","146","293","319","294"
"1832",112526,"Bartolo Colon",2012,"2141","85.57","0.285","0.134","0.307","0.419","0.314","0.025","0.000","147","516","null","null","null","90.7","null","84","871","953","null","null","null","null","null","null","null","null","null"
"2348",112526,"Bartolo Colon",2013,"2777","84.55","0.266","0.105","0.296","0.371","0.288","0.025","0.000","165","620","null","null","null","90.6","null","147","1144","1195","null","null","null","null","null","null","null","null","null"
"2479",424324,"Cliff Lee",2010,"2981","83.16","0.250","0.139","0.291","0.388","0.281","0.018","0.000","162","649","null","null","null","90.7","null","191","1251","1220","null","null","null","null","null","null","null","null","null"
