"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1786",424324,"Cliff Lee",2010,"2981","59.91","0.260","0.137","0.285","0.396","0.280","0.002","0.000","163","628","null","null","null","89.4","null","167","1160","620","null","null","null","null","null","null","null","null","null"
"1918",424324,"Cliff Lee",2013,"3253","58.96","0.262","0.161","0.301","0.423","0.294","0.006","0.000","166","634","null","null","null","88.3","null","190","1184","728","null","null","null","null","null","null","null","null","null"
"1965",424324,"Cliff Lee",2011,"3403","57.74","0.258","0.130","0.305","0.388","0.279","0.008","0.000","160","621","null","null","null","88.3","null","212","1171","770","null","null","null","null","null","null","null","null","null"
"1785",424324,"Cliff Lee",2012,"3099","57.60","0.293","0.192","0.319","0.485","0.332","0.005","0.000","171","583","null","null","null","88.9","null","165","1093","678","null","null","null","null","null","null","null","null","null"
"1745",285079,"R.A. Dickey",2011,"3132","55.72","0.284","0.143","0.307","0.426","0.300","0.004","0.000","177","624","null","null","null","78.8","null","170","1112","623","null","null","null","null","null","null","null","null","null"
"1862",453286,"Max Scherzer",2015,"3359","55.43","0.230","0.178","0.269","0.408","0.269","0.267","0.229","142","617","85.6","16.8","2350","91.6","90.75","343","1341","512","-0.9","5.99","110","149","105","147","286","303","291"
"1872",456034,"David Price",2015,"3389","55.24","0.270","0.150","0.306","0.420","0.295","0.304","0.271","162","600","87.6","14.1","2160","91.3","90.39","267","1255","608","-0.9","5.96","107","151","110","144","291","307","283"
"1532",112526,"Bartolo Colon",2013,"2777","55.17","0.278","0.129","0.293","0.407","0.295","0.002","0.000","155","558","null","null","null","89.6","null","112","977","545","null","null","null","null","null","null","null","null","null"
"1853",285079,"R.A. Dickey",2012,"3360","55.15","0.264","0.159","0.301","0.424","0.291","0.005","0.000","164","621","null","null","null","78.6","null","278","1184","654","null","null","null","null","null","null","null","null","null"
"1426",285079,"R.A. Dickey",2010,"2611","54.62","0.274","0.126","0.293","0.400","0.293","0.011","0.000","133","485","null","null","null","77.8","null","142","903","517","null","null","null","null","null","null","null","null","null"
"1475",450729,"Doug Fister",2010,"2701","54.61","0.309","0.116","0.336","0.425","0.321","0.010","0.000","149","482","null","null","null","86.2","null","73","756","717","null","null","null","null","null","null","null","null","null"
"1471",112526,"Bartolo Colon",2015,"2708","54.32","0.305","0.190","0.318","0.495","0.335","0.328","0.289","165","541","88.4","12.6","2133","88.0","85.93","111","913","548","-2.1","5.28","112","150","111","145","290","308","291"
