"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"2886",285079,"R.A. Dickey",2015,"3266","88.36","0.226","0.154","0.237","0.380","0.287","0.301","0.244","158","700","86.0","11.7","1364","76.4","74.78","297","1434","1435","-1.6","5.48","109","153","113","148","290","315","294"
"3061",285079,"R.A. Dickey",2013,"3505","87.33","0.239","0.160","0.270","0.399","0.300","0.047","0.000","180","752","null","null","null","76.0","null","337","1478","1565","null","null","null","null","null","null","null","null","null"
"2388",285079,"R.A. Dickey",2016,"2742","87.09","0.241","0.207","0.256","0.448","0.326","0.345","0.268","135","560","81.3","15.4","1591","76.3","74.61","292","1156","1220","-1.7","5.38","110","152","117","148","293","315","291"
"3045",285079,"R.A. Dickey",2014,"3513","86.68","0.223","0.151","0.258","0.374","0.292","0.062","0.000","158","709","null","null","null","76.4","null","361","1442","1587","null","null","null","null","null","null","null","null","null"
"2894",285079,"R.A. Dickey",2012,"3360","86.13","0.216","0.129","0.272","0.345","0.264","0.039","0.000","161","744","null","null","null","77.5","null","417","1506","1364","null","null","null","null","null","null","null","null","null"
"2113",285079,"R.A. Dickey",2010,"2611","80.93","0.235","0.117","0.261","0.352","0.272","0.032","0.000","128","545","null","null","null","76.2","null","222","1061","1044","null","null","null","null","null","null","null","null","null"
"2380",285079,"R.A. Dickey",2011,"3132","75.99","0.254","0.107","0.292","0.361","0.286","0.038","0.000","155","610","null","null","null","76.5","null","241","1194","1167","null","null","null","null","null","null","null","null","null"
"1783",450308,"Jered Weaver",2016,"2836","62.87","0.289","0.223","0.288","0.512","0.355","0.343","0.278","133","461","82.0","20.6","2233","74.5","73.94","193","871","899","-0.6","6.08","109","150","108","147","305","323","300"
"1942",518516,"Madison Bumgarner",2013,"3205","60.59","0.193","0.091","0.242","0.284","0.239","0.050","0.000","94","486","null","null","null","85.2","null","235","940","984","null","null","null","null","null","null","null","null","null"
"1520",502171,"Alex Cobb",2014,"2611","58.22","0.202","0.068","0.272","0.270","0.232","0.038","0.000","80","396","null","null","null","85.3","null","260","788","721","null","null","null","null","null","null","null","null","null"
"464",453311,"Tim Lincecum",2016,"806","57.57","0.375","0.260","0.438","0.635","0.445","0.347","0.286","39","104","85.0","9.5","1604","80.6","80.10","76","223","238","-0.5","6.15","107","149","110","146","299","326","301"
"1976",433587,"Felix Hernandez",2014,"3434","57.54","0.158","0.092","0.211","0.251","0.195","0.026","0.000","72","455","null","null","null","86.6","null","354","927","1036","null","null","null","null","null","null","null","null","null"
"1259",502171,"Alex Cobb",2013,"2221","56.69","0.225","0.100","0.299","0.325","0.267","0.045","0.000","74","329","null","null","null","83.9","null","186","642","612","null","null","null","null","null","null","null","null","null"
"611",446372,"Corey Kluber",2012,"1083","56.42","0.232","0.134","0.305","0.366","0.287","0.046","0.000","33","142","null","null","null","86.4","null","109","310","298","null","null","null","null","null","null","null","null","null"
"1832",518516,"Madison Bumgarner",2012,"3269","56.04","0.228","0.133","0.281","0.361","0.276","0.039","0.000","110","482","null","null","null","85.5","null","232","951","872","null","null","null","null","null","null","null","null","null"
"730",453311,"Tim Lincecum",2015,"1325","55.09","0.246","0.145","0.295","0.391","0.312","0.327","0.254","44","179","88.4","7.5","1704","79.3","79.27","112","346","377","0.0","6.23","112","148","108","146","291","316","292"
"49",446372,"Corey Kluber",2011,"89","55.06","0.231","0.000","0.333","0.231","0.243","0.050","0.000","3","13","null","null","null","84.0","null","10","26","22","null","null","null","null","null","null","null","null","null"
"1393",346798,"Kyle Lohse",2015,"2545","54.73","0.260","0.154","0.293","0.414","0.308","0.305","0.256","91","350","82.6","10.6","1896","81.6","80.15","211","707","673","-1.5","5.29","105","147","108","146","293","317","295"
"1628",346798,"Kyle Lohse",2014,"3002","54.23","0.212","0.113","0.243","0.325","0.245","0.029","0.000","92","434","null","null","null","81.2","null","200","794","813","null","null","null","null","null","null","null","null","null"
"942",285064,"Ryan Vogelsong",2013,"1748","53.89","0.289","0.185","0.320","0.474","0.345","0.053","0.000","61","211","null","null","null","82.3","null","66","366","572","null","null","null","null","null","null","null","null","null"
"1636",433587,"Felix Hernandez",2015,"3040","53.82","0.211","0.091","0.278","0.302","0.246","0.242","0.209","79","374","84.9","-0.2","2067","85.0","84.41","260","774","850","-0.6","6.26","112","146","109","146","290","313","293"
"1420",453311,"Tim Lincecum",2014,"2665","53.28","0.245","0.183","0.290","0.428","0.299","0.026","0.000","87","355","null","null","null","81.1","null","201","678","735","null","null","null","null","null","null","null","null","null"
"1601",346798,"Kyle Lohse",2013,"3013","53.14","0.251","0.136","0.277","0.387","0.287","0.026","0.000","109","434","null","null","null","81.6","null","170","793","793","null","null","null","null","null","null","null","null","null"
"1299",450308,"Jered Weaver",2015,"2453","52.96","0.230","0.183","0.246","0.413","0.291","0.262","0.213","78","339","83.3","16.1","1997","72.6","72.48","172","633","658","-0.1","6.31","112","147","108","149","293","319","302"
"1144",502171,"Alex Cobb",2012,"2169","52.74","0.233","0.085","0.280","0.319","0.268","0.043","0.000","74","317","null","null","null","83.3","null","141","593","545","null","null","null","null","null","null","null","null","null"
"1269",453562,"Jake Arrieta",2014,"2416","52.52","0.173","0.082","0.253","0.256","0.212","0.036","0.000","61","352","null","null","null","86.2","null","200","637","620","null","null","null","null","null","null","null","null","null"
"1501",430912,"Matt Cain",2013,"2922","51.37","0.198","0.127","0.236","0.325","0.241","0.031","0.000","72","363","null","null","null","85.2","null","178","679","813","null","null","null","null","null","null","null","null","null"
"1562",285064,"Ryan Vogelsong",2014,"3058","51.08","0.240","0.169","0.273","0.409","0.298","0.044","0.000","84","350","null","null","null","83.3","null","135","658","897","null","null","null","null","null","null","null","null","null"
"197",502171,"Alex Cobb",2016,"386","51.04","0.267","0.222","0.286","0.489","0.337","0.318","0.247","12","45","84.4","10.9","2028","83.3","81.18","25","96","100","-2.1","5.26","107","154","114","148","294","328","299"
"1248",433587,"Felix Hernandez",2016,"2453","50.88","0.205","0.114","0.255","0.318","0.267","0.307","0.249","63","308","84.4","1.8","2045","84.3","84.08","186","617","621","-0.2","6.34","106","150","110","145","289","310","289"
"428",502171,"Alex Cobb",2011,"842","50.83","0.202","0.121","0.234","0.323","0.243","0.027","0.000","25","124","null","null","null","83.3","null","51","220","206","null","null","null","null","null","null","null","null","null"
"1667",518516,"Madison Bumgarner",2015,"3313","50.32","0.204","0.114","0.278","0.318","0.242","0.242","0.205","84","412","86.1","2.2","2201","83.4","82.75","262","816","842","-0.7","5.90","111","148","110","144","292","315","291"
"699",285064,"Ryan Vogelsong",2016,"1390","50.29","0.278","0.236","0.320","0.514","0.375","0.319","0.224","40","144","83.1","10.9","1938","83.2","83.07","55","253","442","-0.1","6.33","111","151","109","148","295","305","291"
"1788",518516,"Madison Bumgarner",2016,"3571","50.07","0.200","0.100","0.285","0.301","0.238","0.236","0.194","96","479","82.0","10.3","2282","83.5","83.43","258","889","886","-0.1","6.35","108","147","109","145","287","308","293"
