"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"114",346798,"Kyle Lohse",2016,"188","60.64","0.250","0.000","0.231","0.250","0.344","0.335","0.191","3","12","84.5","22.0","2061","84.5","83.04","4","23","90","-1.5","5.32","105","147","110","147","308","329","308"
"2076",572971,"Dallas Keuchel",2015,"3493","59.43","0.100","0.021","0.180","0.120","0.176","0.195","0.122","34","341","78.2","2.6","1981","85.9","85.17","286","675","1394","-0.7","5.96","104","148","109","147","281","310","275"
"1962",448306,"James Shields",2015,"3338","58.78","0.182","0.084","0.324","0.266","0.309","0.291","0.165","52","286","82.8","6.1","2150","86.4","86.92","278","612","1313","0.5","6.68","110","148","109","146","290","308","291"
"814",285064,"Ryan Vogelsong",2016,"1390","58.56","0.158","0.069","0.221","0.228","0.322","0.325","0.173","16","101","76.7","4.1","1984","86.6","86.65","53","189","612","0.0","6.46","111","151","110","147","296","305","289"
"1525",502171,"Alex Cobb",2014,"2611","58.41","0.133","0.024","0.203","0.157","0.230","0.125","0.000","33","248","null","null","null","88.0","null","205","535","970","null","null","null","null","null","null","null","null","null"
"1816",448306,"James Shields",2016,"3134","57.95","0.229","0.078","0.336","0.307","0.364","0.341","0.202","50","218","78.5","7.5","2191","86.1","86.64","199","486","1299","0.5","6.80","107","151","109","145","291","313","291"
"842",435178,"Josh Johnson",2013,"1470","57.28","0.162","0.036","0.315","0.198","0.277","0.157","0.000","18","111","null","null","null","89.2","null","95","239","589","null","null","null","null","null","null","null","null","null"
"793",572971,"Dallas Keuchel",2012,"1388","57.13","0.190","0.070","0.240","0.260","0.322","0.179","0.000","19","100","null","null","null","83.5","null","53","207","580","null","null","null","null","null","null","null","null","null"
"1661",285064,"Ryan Vogelsong",2011,"2937","56.55","0.159","0.031","0.223","0.190","0.256","0.133","0.000","41","258","null","null","null","87.4","null","130","498","1137","null","null","null","null","null","null","null","null","null"
"1828",425844,"Zack Greinke",2015,"3239","56.44","0.107","0.017","0.180","0.124","0.176","0.206","0.139","31","290","80.0","7.7","2200","88.9","88.18","244","576","1240","-0.7","5.96","118","150","110","150","293","306","292"
"1791",452657,"Jon Lester",2015,"3185","56.23","0.149","0.029","0.300","0.178","0.241","0.229","0.135","36","242","81.8","5.7","2203","88.0","87.27","223","539","1237","-0.7","6.01","109","149","106","146","286","300","282"
"1601",450308,"Jered Weaver",2012,"2859","56.00","0.172","0.073","0.239","0.244","0.254","0.100","0.000","45","262","null","null","null","84.3","null","154","486","1101","null","null","null","null","null","null","null","null","null"
"536",456501,"Johnny Cueto",2013,"958","55.95","0.148","0.012","0.250","0.160","0.240","0.127","0.000","12","81","null","null","null","88.7","null","62","172","355","null","null","null","null","null","null","null","null","null"
"450",453311,"Tim Lincecum",2016,"806","55.83","0.250","0.167","0.370","0.417","0.424","0.375","0.189","12","48","80.0","7.5","1784","83.3","83.00","52","109","339","-0.3","6.28","106","149","109","146","299","325","301"
"1369",433587,"Felix Hernandez",2016,"2453","55.81","0.157","0.052","0.292","0.209","0.308","0.314","0.165","30","191","77.5","8.4","2003","87.5","87.32","173","431","926","-0.2","6.44","107","150","110","145","289","310","290"
"1696",433587,"Felix Hernandez",2015,"3040","55.79","0.170","0.033","0.301","0.204","0.267","0.265","0.166","46","270","83.0","2.4","1996","88.4","88.14","235","571","1103","-0.3","6.38","111","146","109","146","290","313","294"
"1331",456501,"Johnny Cueto",2011,"2394","55.60","0.132","0.042","0.185","0.175","0.246","0.142","0.000","25","189","null","null","null","89.9","null","120","424","893","null","null","null","null","null","null","null","null","null"
"1728",456501,"Johnny Cueto",2010,"3117","55.44","0.190","0.109","0.286","0.298","0.298","0.128","0.000","49","258","null","null","null","89.9","null","175","521","1175","null","null","null","null","null","null","null","null","null"
"2004",448306,"James Shields",2012,"3617","55.41","0.136","0.043","0.235","0.179","0.234","0.121","0.000","41","302","null","null","null","87.6","null","273","670","1306","null","null","null","null","null","null","null","null","null"
