"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"2935",592789,"Noah Syndergaard",2016,"2935","100.00","0.243","0.108","0.336","0.351","0.282","0.261","0.217","168","692","82.5","11.0","2113","94.8","95.37","448","1470","1442","0.6","6.77","109","152","111","146","290","311","293"
"1727",543037,"Gerrit Cole",2013,"1727","100.00","0.253","0.084","0.313","0.336","0.283","0.046","0.000","109","431","null","null","null","93.4","null","175","814","895","null","null","null","null","null","null","null","null","null"
"2798",518774,"Matt Harvey",2015,"2798","100.00","0.222","0.122","0.277","0.344","0.266","0.254","0.210","156","703","85.8","10.1","2262","93.2","92.11","358","1338","1430","-1.1","6.02","113","149","111","146","292","307","291"
"3239",543037,"Gerrit Cole",2015,"3239","100.00","0.239","0.097","0.308","0.336","0.275","0.293","0.242","183","765","86.5","9.6","2137","93.0","92.67","357","1546","1659","-0.3","6.20","108","151","110","148","297","318","292"
"2697",518774,"Matt Harvey",2013,"2697","100.00","0.209","0.073","0.283","0.282","0.236","0.036","0.000","135","646","null","null","null","92.7","null","373","1346","1326","null","null","null","null","null","null","null","null","null"
"2988",435178,"Josh Johnson",2010,"2988","100.00","0.229","0.096","0.301","0.325","0.268","0.050","0.000","155","677","null","null","null","92.7","null","377","1413","1538","null","null","null","null","null","null","null","null","null"
"2380",592789,"Noah Syndergaard",2015,"2380","100.00","0.225","0.153","0.282","0.378","0.279","0.263","0.214","126","561","84.9","11.5","2047","92.6","93.15","317","1126","1224","0.6","6.90","113","151","113","145","292","309","292"
"2197",543037,"Gerrit Cole",2014,"2197","100.00","0.248","0.131","0.320","0.379","0.302","0.060","0.000","127","512","null","null","null","92.6","null","230","974","1197","null","null","null","null","null","null","null","null","null"
"1942",543037,"Gerrit Cole",2016,"1942","100.00","0.289","0.121","0.349","0.410","0.330","0.312","0.267","131","454","82.1","15.0","2198","92.6","91.99","176","931","989","-0.6","6.14","112","150","109","148","297","307","288"
"392",519242,"Chris Sale",2010,"392","100.00","0.185","0.086","0.277","0.272","0.251","0.076","0.000","15","81","null","null","null","92.4","null","45","146","245","null","null","null","null","null","null","null","null","null"
"3600",434622,"Ubaldo Jimenez",2010,"3600","100.00","0.209","0.102","0.274","0.311","0.276","0.079","0.000","164","785","null","null","null","92.3","null","363","1532","2021","null","null","null","null","null","null","null","null","null"
"978",518774,"Matt Harvey",2012,"978","100.00","0.200","0.138","0.268","0.338","0.280","0.083","0.000","42","210","null","null","null","92.2","null","128","475","494","null","null","null","null","null","null","null","null","null"
"2976",594798,"Jacob deGrom",2015,"2976","100.00","0.215","0.104","0.277","0.318","0.250","0.259","0.216","149","694","84.7","11.1","2175","92.2","92.58","417","1536","1420","0.4","6.77","113","150","114","145","289","308","291"
"3698",456034,"David Price",2011,"3698","100.00","0.231","0.140","0.284","0.371","0.290","0.055","0.000","193","836","null","null","null","92.0","null","343","1628","2034","null","null","null","null","null","null","null","null","null"
"3332",456034,"David Price",2012,"3332","100.00","0.226","0.093","0.286","0.318","0.271","0.054","0.000","173","767","null","null","null","91.9","null","311","1458","1850","null","null","null","null","null","null","null","null","null"
"2924",519455,"Jordan Zimmermann",2014,"2924","100.00","0.244","0.110","0.304","0.354","0.276","0.031","0.000","185","757","null","null","null","91.8","null","335","1510","1391","null","null","null","null","null","null","null","null","null"
"1515",518774,"Matt Harvey",2016,"1515","100.00","0.302","0.150","0.359","0.452","0.343","0.315","0.261","111","367","83.0","15.1","2207","91.8","90.97","165","759","739","-0.8","5.88","110","151","108","145","293","315","297"
